dt_iso,city_name,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
2015-01-01 00:00:00+01:00,Valencia,270.475,270.475,270.475,1001,77,1,62,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 01:00:00+01:00,Valencia,270.475,270.475,270.475,1001,77,1,62,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 02:00:00+01:00,Valencia,269.686,269.686,269.686,1002,78,0,23,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 03:00:00+01:00,Valencia,269.686,269.686,269.686,1002,78,0,23,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 04:00:00+01:00,Valencia,269.686,269.686,269.686,1002,78,0,23,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 05:00:00+01:00,Valencia,270.292,270.292,270.292,1004,71,2,321,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 06:00:00+01:00,Valencia,270.292,270.292,270.292,1004,71,2,321,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 07:00:00+01:00,Valencia,270.292,270.292,270.292,1004,71,2,321,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 08:00:00+01:00,Valencia,274.601,274.601,274.601,1005,71,1,307,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 09:00:00+01:00,Valencia,274.601,274.601,274.601,1005,71,1,307,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 10:00:00+01:00,Valencia,274.601,274.601,274.601,1005,71,1,307,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 11:00:00+01:00,Valencia,284.824,284.824,284.824,1006,55,1,255,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 12:00:00+01:00,Valencia,284.824,284.824,284.824,1006,55,1,255,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 13:00:00+01:00,Valencia,284.824,284.824,284.824,1006,55,1,255,0,0,0,0,800,clear,sky is clear,01d
2015-01-01 14:00:00+01:00,Valencia,285.0506563,285.0506563,285.0506563,1015,52,1,248,0,0,0,0,800,clear,sky is clear,1
2015-01-01 15:00:00+01:00,Valencia,285.2773438,285.2773438,285.2773438,1025,50,1,242,0,0,0,0,800,clear,sky is clear,1
2015-01-01 16:00:00+01:00,Valencia,281.024,281.024,281.024,1021,67,1,230,0,0,0,0,800,clear,sky is clear,1
2015-01-01 17:00:00+01:00,Valencia,282.744,282.744,282.744,1035,58,1,226,0,0,0,0,800,clear,sky is clear,1
2015-01-01 18:00:00+01:00,Valencia,279.984,279.984,279.984,1035,68,1,216,0,0,0,0,800,clear,sky is clear,1
2015-01-01 19:00:00+01:00,Valencia,277.8761875,277.8761875,277.8761875,1017,69,1,235,0,0,0,0,800,clear,sky is clear,1
2015-01-01 20:00:00+01:00,Valencia,275.0075,275.0075,275.0075,1021,81,1,220,0,0,0,0,800,clear,sky is clear,1
2015-01-01 21:00:00+01:00,Valencia,272.791,272.791,272.791,1006,84,1,235,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 22:00:00+01:00,Valencia,272.791,272.791,272.791,1006,84,1,235,0,0,0,0,800,clear,sky is clear,01n
2015-01-01 23:00:00+01:00,Valencia,271.229,271.229,271.229,1006,82,1,265,0,0,0,0,800,clear,sky is clear,01n
2015-01-02 00:00:00+01:00,Valencia,271.229,271.229,271.229,1006,82,1,265,0,0,0,0,800,clear,sky is clear,01n
